ts_code,name,start_date,end_date,start_price,end_price,total_return,annual_return,max_drawdown,trading_days
601398.SH,工商银行,20210330,20260330,5.48,7.57,38.138686131386855,6.676045109633333,-26.714801444043328,1211
601288.SH,农业银行,20210330,20260330,3.38,6.49,92.01183431952664,13.93925027763121,-25.494761350407448,1211
601318.SH,中国平安,20210330,20260330,79.37,56.33,-29.028600226785944,-6.628873926429046,-54.4538238629205,1211
601628.SH,中国人寿,20210330,20260330,32.06,36.68,14.41048034934497,2.729402633884903,-40.11695906432748,1211
601390.SH,中国中铁,20210330,20260330,5.82,5.47,-6.013745704467363,-1.2329389846832295,-46.021505376344095,1211
601668.SH,中国建筑,20210330,20260330,5.11,4.97,-2.7397260273972712,-0.5541263733966906,-34.88700564971751,1211
601857.SH,中国石油,20210330,20260330,4.3,12.44,189.30232558139537,23.675312901116662,-32.84537968892955,1211
600028.SH,中国石化,20210330,20260330,4.32,5.97,38.19444444444443,6.684656644353071,-26.32311977715877,1211
600519.SH,贵州茅台,20210330,20260330,2056.05,1420.0,-30.93553172345031,-7.136182497321086,-44.47380008806693,1211
000858.SZ,五粮液,20210330,20260330,273.46,103.46,-62.16631317194471,-17.668851399824202,-68.97192211249728,1211
000538.SZ,云南白药,20210330,20260330,122.6,54.75,-55.34257748776509,-14.892243185629816,-63.72279405987271,1211
600276.SH,恒瑞医药,20210330,20260330,93.6,55.76,-40.427350427350426,-9.842217046452584,-70.44219499200854,1211
002415.SZ,海康威视,20210330,20260330,55.27,30.53,-44.76207707617152,-11.194388351698226,-62.860950688582854,1211
300750.SZ,宁德时代,20210330,20260330,318.98,413.0,29.47520220703492,5.302914515165025,-79.5421511627907,1211
000002.SZ,万科Ａ,20210330,20260330,31.37,4.01,-87.21708638826904,-33.732359385667166,-87.21708638826904,1211
600048.SH,保利发展,20210330,20260330,14.39,5.84,-59.416261292564286,-16.505150461315544,-69.77225672877847,1211
601111.SH,中国国航,20210330,20260330,8.99,6.85,-23.804226918798673,-5.292811779479257,-47.45762711864407,1211
600026.SH,中远海能,20210330,20260330,6.47,22.6,249.30448222565693,28.42681314219069,-51.136363636363626,1211
601369.SH,陕鼓动力,20210330,20260330,8.73,10.18,16.609392898052683,3.1213367696217187,-55.623306233062344,1211
000425.SZ,徐工机械,20210330,20260330,7.7,9.93,28.961038961038955,5.219135508883865,-46.901579586877276,1188
002042.SZ,华孚时尚,20210330,20260330,4.65,4.43,-4.731182795698938,-0.9648010664921824,-54.56053067993366,1211
600307.SH,酒钢宏兴,20210330,20260330,1.78,2.12,19.101123595505623,3.558380590442378,-67.33524355300861,1211
000625.SZ,长安汽车,20210330,20260330,14.59,9.95,-31.802604523646337,-7.370566939019163,-66.11755896667914,1211
002594.SZ,比亚迪,20210330,20260330,169.0,106.05,-37.248520710059175,-8.899816420932172,-78.50617283950618,1211
600036.SH,招商银行,20210330,20260330,51.56,39.48,-23.42901474010862,-5.19970855791323,-54.15384615384615,1211
601328.SH,交通银行,20210330,20260330,4.9,6.97,42.24489795918366,7.302917445394663,-21.274038461538467,1211
