code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.00999,XIAOCAIYUAN,7.29,10.832,3.175,2172800,1.897,22.785800000000002
HK.03866,BQD,4.24,5.36,0.567,1643000,0.747,22.7634
HK.01368,XTEP INT'L,4.79,10.041,1.254,27734000,3.58,22.7182
HK.02285,CHERVON,16.0,10.767,1.032,10422002,8.57,22.682199999999998
HK.00998,CITIC BANK,7.91,5.629,0.549,33003672,0.63,22.634399999999996
HK.00939,CCB,7.94,5.732,0.552,204245645,0.648,22.5672
HK.00327,PAX GLOBAL,4.13,5.816,0.552,2941210,0.343,22.516800000000003
HK.00142,FIRST PACIFIC,5.8,5.306,0.729,4431551,0.66,22.504199999999997
HK.02111,BEST PACIFIC,2.77,5.226,0.76,1202356,0.557,22.496399999999998
HK.03328,BANKCOMM,6.93,6.057,0.492,23353179,0.891,22.4802
HK.01398,ICBC,6.58,5.933,0.559,191483794,0.749,22.434
HK.03618,CQRC BANK,6.7,6.118,0.526,14113000,0.807,22.3824
HK.01288,ABC,5.21,5.988,0.607,54967912,0.461,22.314600000000002
HK.01658,PSBC,4.91,6.311,0.531,23805737,0.644,22.2576
HK.01339,PICC GROUP,5.87,5.704,0.754,28069864,0.781,22.220399999999998
HK.00819,TIANNENG POWER,7.34,6.703,0.449,9253789,0.837,22.17
HK.00839,CHINA EDU GROUP,2.72,7.101,0.414,3340000,0.556,21.994199999999996
HK.06601,CHEERWIN GP,2.29,12.311,0.911,4405000,4.673,21.973599999999998
HK.00806,VALUE PARTNERS,2.1,5.737,0.905,1161000,0.485,21.928799999999995
HK.02233,WESTCHINACEMENT,2.23,12.528,0.869,49206000,1.141,21.919
HK.00688,CHINA OVERSEAS,11.85,7.679,0.305,18500872,0.63,21.8436
HK.01811,CGN NEW ENERGY,2.76,6.146,0.854,7152000,0.615,21.775199999999995
HK.02314,LEE & MAN PAPER,3.48,7.699,0.491,4561000,0.606,21.4968
HK.01109,CHINA RES LAND,27.94,7.214,0.657,14280871,0.881,21.488999999999997
HK.06960,SHUANGDENG,12.25,18.421,1.372,1118500,2.282,21.477800000000002
