ts_code,name,start_date,end_date,start_price,end_price,total_return,annual_return,max_drawdown,trading_days
601398.SH,工商银行,20160330,20260330,4.32,7.57,75.23148148148148,5.770497864466906,-47.612903225806456,2428
601288.SH,农业银行,20160330,20260330,3.2,6.49,102.8125,7.328158098077675,-42.73684210526316,2428
601318.SH,中国平安,20160330,20260330,31.99,56.33,76.0862769615505,5.821987836821707,-61.287213536089105,2428
601628.SH,中国人寿,20160330,20260330,24.09,36.68,52.262349522623495,4.2945831412581015,-53.5796766743649,2428
601390.SH,中国中铁,20160330,20260330,8.03,5.47,-31.880448318804483,-3.7668070969996137,-51.26953125,2354
601668.SH,中国建筑,20160330,20260330,5.72,4.97,-13.111888111888112,-1.3958484998833343,-60.26905829596413,2428
601857.SH,中国石油,20160330,20260330,7.67,12.44,62.190352020860495,4.955542340761387,-56.68449197860963,2428
600028.SH,中国石化,20160330,20260330,4.73,5.97,26.21564482029597,2.3558580637445203,-49.1480996068152,2428
600519.SH,贵州茅台,20160330,20260330,248.66,1420.0,471.0608863508405,19.036075817528662,-51.51864667435602,2428
000858.SZ,五粮液,20160330,20260330,28.12,103.46,267.92318634423896,13.915668112037638,-70.897212543554,2428
000538.SZ,云南白药,20160330,20260330,61.0,54.75,-10.245901639344263,-1.0752899283754225,-71.28731343283582,2264
600276.SH,恒瑞医药,20160330,20260330,47.31,55.76,17.860917353625016,1.6571567704732448,-75.88035822971916,2427
002415.SZ,海康威视,20160330,20260330,31.1,30.53,-1.832797427652734,-0.1848344206544006,-63.69426751592356,2426
300750.SZ,宁德时代,20180611,20260330,36.2,413.0,1040.8839779005523,36.62853160224018,-79.5421511627907,1892
000002.SZ,万科Ａ,20160704,20260330,21.99,4.01,-81.7644383810823,-16.037327531530675,-90.25042548018479,2359
600048.SH,保利发展,20160330,20260330,9.39,5.84,-37.806176783812575,-4.6387573635805035,-69.77225672877847,2421
601111.SH,中国国航,20160330,20260330,6.81,6.85,0.5873715124816452,0.05859049691048224,-56.82451253481895,2427
600026.SH,中远海能,20160330,20260330,6.59,22.6,242.94385432473447,13.11745624434506,-51.136363636363626,2423
601369.SH,陕鼓动力,20160330,20260330,6.93,10.18,46.897546897546896,3.9211014070705597,-55.623306233062344,2388
000425.SZ,徐工机械,20160330,20260330,3.54,9.93,180.50847457627117,10.866600643388335,-46.901579586877276,2395
002042.SZ,华孚时尚,20160330,20260330,10.16,4.43,-56.39763779527559,-7.966472893172338,-80.28776978417265,2428
600307.SH,酒钢宏兴,20160330,20260330,2.78,2.12,-23.741007194244595,-2.6743092025093174,-69.43699731903486,2428
000625.SZ,长安汽车,20160331,20260330,15.77,9.95,-36.905516804058344,-4.5027377038677985,-67.43432889528607,2427
002594.SZ,比亚迪,20160330,20260330,58.8,106.05,80.35714285714286,6.075928384225349,-78.50617283950618,2428
600036.SH,招商银行,20160330,20260330,16.24,39.48,143.10344827586206,9.290998515479409,-54.15384615384615,2428
601328.SH,交通银行,20160330,20260330,5.58,6.97,24.91039426523297,2.249497051085214,-40.389972144846794,2428
