code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SH.600398,"Hla Group Corp.,",6.16,13.719,1.642,49086336,1.525,23.812999999999995
SH.601997,Bank Of Guiyang,5.77,4.086,0.333,32916478,0.738,23.400599999999997
SH.601186,China Railway Construction Corporation,6.96,4.254,0.346,68418915,0.851,23.377200000000002
SH.600016,"China Minsheng Banking Corp.,Ltd.",3.84,5.203,0.299,158081162,0.626,23.34
SH.600015,Hua Xia Bank,7.15,4.111,0.37,47380086,0.625,23.334
SH.601818,China Everbright Bank,3.3,4.674,0.396,233882953,0.774,23.2872
SH.600970,Sinoma International Engineering,10.23,9.368,1.168,23518449,1.073,23.276799999999998
SH.601169,Bank Of Beijing,5.47,4.476,0.416,109838176,0.667,23.251199999999997
SH.601668,China State Construction Engineering Corporation,4.93,4.409,0.422,161002801,0.545,23.2404
SH.601390,China Railway,5.39,4.769,0.424,207349186,0.78,23.2368
SH.600248,Shaanxi Construction Engineering Group Corporation,3.46,4.374,0.447,16915201,0.593,23.1954
SZ.002608,"Jiangsu Guoxin Corp.,Ltd.",8.74,10.198,0.945,43035032,1.33,23.1802
SZ.000001,Ping An Bank,10.94,4.979,0.47,82766409,0.765,23.154
SZ.000543,An Hui Wenergy,8.81,9.681,1.162,80702261,1.335,23.099800000000002
SZ.200625,Chongqing Changan Automobile,4.03,5.127,0.476,2373912,0.542,23.067
SH.601800,China Communications Construction,7.7,5.358,0.429,23344777,0.727,23.012999999999998
SH.601577,Bank Of Changsha,9.66,4.964,0.556,12943932,0.695,22.9992
SZ.000498,Shandong Hi-Speed Road & Bridge Group,5.78,3.863,0.567,15911700,0.73,22.9794
SH.603323,Jiangsu Suzhou Rural Commercial Bank,4.95,5.134,0.534,25402584,0.689,22.958399999999997
SH.601166,Industrial Bank,18.88,5.175,0.521,58122160,0.761,22.9572
SH.600098,Guangzhou Development Group Incorporated,8.36,16.923,1.079,88302578,2.429,22.904000000000003
SH.603759,Haitian Water Group,10.08,15.272,1.634,19694723,1.822,22.8956
SH.601336,New China Life Insurance,63.75,7.582,2.02,22010909,1.157,22.814799999999998
SH.600011,"Huaneng Power International,Inc.",7.53,8.202,1.82,198827942,1.195,22.8028
SH.601916,China Zheshang Bank,3.1,5.605,0.479,127171746,0.718,22.7748
SH.601688,Huatai,18.42,10.828,0.973,75279659,1.014,22.7518
SZ.000550,"Jiangling Motors Corporation,",17.46,9.803,1.338,4867800,1.155,22.709799999999998
SZ.002991,Ganyuan Foods,49.25,12.202,2.763,892200,1.627,22.705399999999997
SH.600795,GD Power Development,5.11,9.274,1.533,264573817,1.12,22.676199999999998
SH.601528,Zhejiang Shaoxing RuiFeng Rural Commercial Bank,5.58,5.699,0.567,17825440,0.866,22.56
SZ.000690,Guangdong Baolihua New Energy Stock,5.76,17.777,0.998,546897437,2.828,22.537399999999998
SZ.002958,Qingdao Rural Commercial Bank Corporation,3.12,6.07,0.472,75934303,0.938,22.508399999999998
SH.600908,Wuxi Rural Commercial Bank,5.91,5.76,0.586,18376033,0.806,22.4892
SH.601229,Bank of Shanghai,9.81,5.916,0.581,34245232,0.843,22.4046
SH.688036,"Shenzhen Transsion Holdings Co., Ltd.",55.52,11.518,3.174,17132714,1.648,22.375999999999998
SH.600483,Fujian Funeng,10.97,10.915,1.162,40064058,1.059,22.3594
SH.600928,Bank Of Xi'An,3.65,6.336,0.47,24019900,0.718,22.352400000000003
SZ.002839,Jiangsu Zhangjiagang Rural Commercial Bank,4.57,5.942,0.616,33310609,0.959,22.326
SZ.000403,Pacific Shuanglin Bio-pharmacy,13.0,16.581,1.539,13763340,1.56,22.2812
SH.601860,Jiangsu Zijin Rural Commercial Bank,2.82,6.365,0.518,63437800,0.879,22.2486
SH.600027,Huadian Power International Corporation,5.33,10.855,1.299,257871972,1.284,22.148799999999998
SH.601328,Bank Of Communications,6.86,6.477,0.54,122240160,0.726,22.1418
SZ.000507,"Zhuhai Port Co.,Ltd.",5.89,18.522,0.989,51731438,1.553,22.1066
SH.601838,Bank Of Chengdu,17.11,5.639,0.855,21196588,0.901,22.0776
SZ.001227,Bank Of Lanzhou,2.29,6.918,0.432,79482800,0.867,22.0716
SH.600502,Anhui Construction Engineering Group Corporation,4.73,6.04,0.739,20459580,0.739,22.0458
SH.601998,China CITIC Bank Corporation,8.38,6.603,0.644,71470801,0.815,21.878999999999998
SH.600642,Shenergy,9.28,11.513,1.236,39751839,1.233,21.8674
SZ.002244,Hangzhou Binjiang Real Estate Group,9.91,12.114,1.037,22798599,1.062,21.865
SH.601128,Jiangsu Changshu Rural Commercial Bank,7.13,6.2,0.795,39307542,0.9,21.849
SH.600820,Shanghai Tunnel Engineering,6.09,6.736,0.62,14161602,0.466,21.842399999999998
SH.600919,Bank Of Jiangsu,10.88,6.27,0.801,92898812,0.815,21.7962
SH.600000,Shanghai Pudong Development Bank,10.06,7.402,0.449,36081386,0.514,21.7506
SZ.002327,Shenzhen Fuanna Bedding and Furnishing,6.81,10.525,1.643,7159201,1.099,21.7276
SZ.000027,Shenzhen Energy Group,7.87,18.693,1.143,152044335,2.005,21.726799999999997
SZ.002035,Vatti Corporation,6.44,11.258,1.435,20578283,1.49,21.6622
SH.601658,Postal Savings Bank Of China,5.11,7.097,0.614,146832852,0.901,21.636599999999998
SZ.002705,Guangdong Xinbao Electrical Appliances Holdings,14.77,11.387,1.412,50649597,8.199,21.6262
SZ.002124,Tech-bank Food,2.36,3.597,1.332,31963070,0.665,21.6024
SH.603369,Jiangsu King's Luck Brewery Joint-Stock,26.64,9.733,2.012,7215143,1.206,21.5386
