code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.00142,FIRST PACIFIC,5.65,5.169,0.71,4261551,0.65,22.6206
HK.02285,CHERVON,16.12,10.847,1.04,10288002,8.598,22.6198
HK.00939,CCB,7.98,5.761,0.555,199456696,0.649,22.5444
HK.00327,PAX GLOBAL,4.13,5.816,0.552,2846210,0.34,22.516800000000003
HK.02111,BEST PACIFIC,2.76,5.207,0.758,1176356,0.558,22.5114
HK.03328,BANKCOMM,6.93,6.057,0.492,22588179,0.883,22.4802
HK.01398,ICBC,6.54,5.897,0.556,182294661,0.73,22.461000000000002
HK.03618,CQRC BANK,6.72,6.136,0.527,13704000,0.802,22.3698
HK.01339,PICC GROUP,5.81,5.646,0.746,25978864,0.736,22.2696
HK.01658,PSBC,4.91,6.311,0.531,22564737,0.625,22.2576
HK.00819,TIANNENG POWER,7.29,6.657,0.446,9087789,0.843,22.203
HK.01288,ABC,5.37,6.172,0.626,52525912,0.452,22.169999999999998
HK.01515,CR MEDICAL,2.83,6.69,0.505,4220500,0.991,22.077
HK.06601,CHEERWIN GP,2.27,12.204,0.904,4347000,4.726,22.0504
HK.00806,VALUE PARTNERS,2.08,5.683,0.897,1115000,0.476,21.975599999999996
HK.00839,CHINA EDU GROUP,2.73,7.127,0.416,3092000,0.527,21.974999999999998
HK.02233,WESTCHINACEMENT,2.22,12.471,0.865,48154000,1.134,21.960399999999996
HK.00688,CHINA OVERSEAS,11.86,7.686,0.306,17962872,0.627,21.8376
HK.01811,CGN NEW ENERGY,2.77,6.169,0.857,6936000,0.611,21.755999999999997
HK.02314,LEE & MAN PAPER,3.46,7.654,0.488,4464000,0.609,21.529200000000003
HK.01979,TEN PAO GROUP,2.21,5.989,1.043,724142,0.329,21.5292
HK.06960,SHUANGDENG,12.23,18.39,1.369,1114500,2.329,21.5018
HK.01109,CHINA RES LAND,27.9,7.203,0.656,13963871,0.881,21.4974
HK.01083,TG SMART ENERGY,3.38,7.824,0.482,2884751,0.532,21.438000000000002
HK.02356,DAHSING BANKING,11.61,7.919,0.468,891197,0.822,21.4062
HK.00746,L & M CHEMICAL,5.0,7.385,0.651,562000,0.833,21.3972
HK.01478,Q TECH,7.65,5.503,1.28,4186000,0.745,21.394199999999998
HK.01919,COSCO SHIP HOLD,14.95,6.701,0.89,24623676,0.617,21.377399999999998
HK.00811,XINHUA WINSHARE,9.72,7.189,0.73,1045050,0.903,21.372599999999995
HK.02196,FOSUN PHARMA,18.65,13.292,0.919,2609000,1.101,21.370599999999996
HK.02005,SSY GROUP,2.39,6.53,0.952,2424000,0.315,21.368399999999998
HK.06168,ZHOU LIU FU,20.16,10.413,1.887,517700,1.104,21.3556
HK.00836,CHINA RES POWER,19.22,6.854,0.894,12866478,0.641,21.278399999999998
HK.03360,FE HORIZON,6.98,7.79,0.582,4679163,0.633,21.278399999999998
HK.01024,KUAISHOU-W,45.46,9.6,2.246,187313110,3.872,21.1972
HK.02488,LAUNCH TECH,8.23,8.858,2.494,670000,1.343,21.195999999999998
HK.01199,COSCO SHIP PORT,5.19,8.466,0.411,6225856,0.512,21.180600000000002
HK.00902,HUANENG POWER,6.22,6.068,1.242,41235940,0.797,21.1236
HK.03369,QHD PORT,2.43,8.046,0.611,972500,0.573,21.0726
HK.00636,KLN,6.65,7.796,0.706,809000,0.716,21.051599999999997
HK.01099,SINOPHARM,20.16,7.943,0.676,5591728,0.762,21.017400000000002
HK.02607,SH PHARMA,11.23,8.469,0.501,1848300,0.788,21.0168
HK.03877,CSSC SHIPPING,2.39,7.029,1.019,7632000,0.595,20.9484
HK.01789,AK MEDICAL,5.82,17.425,2.028,6742000,2.061,20.894599999999997
HK.00144,CHINA MER PORT,15.78,8.366,0.615,1981422,0.445,20.8734
HK.00148,KINGBOARD HLDG,33.68,8.481,0.577,3279101,0.529,20.872799999999998
HK.01851,GINGKO EDU,3.9,11.782,1.712,1672000,1.052,20.8492
HK.00551,YUE YUEN IND,15.22,8.235,0.679,2241000,0.178,20.8368
HK.01045,APT SATELLITE,3.36,22.105,0.506,6548029,1.69,20.8262
HK.00598,SINOTRANS,4.8,8.135,0.79,1786225,0.403,20.697000000000003
HK.02302,CNNC INT'L,5.64,14.351,3.175,3786300,2.312,20.6744
HK.02318,PING AN,58.05,7.688,0.972,49648896,0.988,20.6376
HK.00316,OOIL,142.4,7.984,0.901,859027,0.564,20.5878
HK.02128,CHINA LESSO,5.2,8.873,0.605,4837000,0.386,20.5872
HK.06198,QINGDAO PORT,7.0,8.036,0.914,1416060,0.471,20.533199999999997
HK.00696,TRAVELSKY TECH,10.56,13.803,1.22,11770200,1.199,20.522199999999998
HK.03968,CM BANK,48.98,7.708,1.034,10134781,0.694,20.514000000000003
HK.01712,DRAGON MINING,9.02,5.473,1.802,1446000,0.641,20.4726
HK.06098,CG SERVICES,5.73,9.55,0.464,6538303,0.804,20.434799999999996
HK.00762,CHINA UNICOM,7.05,9.362,0.529,24055596,0.474,20.430600000000002
HK.03969,CHINA CRSC,3.42,8.883,0.69,5540000,0.624,20.4282
HK.09961,TRIP.COM-S,390.0,6.915,1.347,1387633,0.54,20.426399999999997
HK.06099,CMSC,13.03,8.32,0.879,1787600,0.475,20.4258
HK.06881,CGS,8.71,8.789,0.739,13571500,0.561,20.3964
HK.01666,TONG REN TANG,4.0,9.09,0.64,571000,0.451,20.394000000000002
HK.00511,TVB,2.88,22.677,0.576,1563300,2.178,20.357
HK.02333,GWMOTOR,12.37,7.721,1.122,10911891,0.802,20.347799999999996
HK.06831,GREEN TEA GROUP,7.86,9.715,2.698,4817849,1.411,20.314600000000002
HK.00023,BANK OF E ASIA,13.44,10.143,0.337,929400,0.568,20.3076
HK.00013,HUTCHMED,21.58,5.294,1.954,3068500,0.725,20.3064
HK.01773,TIANLI INT HLDG,2.35,6.772,1.512,6347000,0.578,20.2152
HK.03933,UNITED LAB,9.77,8.35,1.001,10172697,0.9,20.1882
HK.00752,PICO FAR EAST,2.61,7.587,1.298,610765,0.453,20.1114
HK.01361,361 DEGREES,5.89,8.402,1.091,5787000,0.782,19.994999999999997
HK.02579,CNGR,31.38,20.644,1.469,3122600,2.585,19.9694
HK.01999,MAN WAH HLDGS,4.34,8.157,1.233,3189600,0.366,19.8864
HK.02507,CIRRUS,37.36,12.651,1.987,4807855,1.221,19.8328
HK.01316,NEXTEER,5.14,16.265,0.785,26152026,1.069,19.828
HK.09885,YSB,5.26,21.295,1.332,6261200,1.947,19.825399999999995
HK.00116,CHOW SANG SANG,12.24,10.208,0.597,805000,0.727,19.800600000000003
HK.06186,CHINA FEIHE,3.73,8.515,1.169,14789546,0.724,19.7868
HK.02580,AUX ELECTRIC,9.32,4.709,2.344,1729600,0.624,19.780799999999996
HK.00916,CHINA LONGYUAN,7.93,9.623,0.811,22645390,0.851,19.7664
HK.03709,EEKA FASHION,6.64,9.299,0.946,631500,0.704,19.7178
HK.01866,CHINA XLX FERT,10.35,8.373,1.259,3246000,0.525,19.71
HK.06178,EB SECURITIES,7.61,10.628,0.535,1362400,0.555,19.660199999999996
HK.00564,ZCZL,19.45,8.155,1.369,1305200,0.775,19.642799999999998
HK.00934,SINOPEC KANTONS,4.32,10.434,0.65,3748000,0.712,19.569599999999998
HK.01071,HUADIAN POWER,4.75,9.013,1.125,14938000,0.832,19.5672
HK.02198,CHINA SANJIANG,4.62,9.565,0.961,3857300,0.298,19.5312
HK.00596,INSPUR DIGI ENT,2.96,8.705,1.257,3166000,0.578,19.5144
HK.01200,MIDLAND HOLDING,3.03,6.778,1.9,1690000,0.714,19.513199999999998
HK.00177,JIANGSU EXPRESS,9.75,9.198,1.113,4087805,0.896,19.4778
HK.01898,CHINA COAL,14.06,9.506,1.081,16632140,0.444,19.350600000000004
HK.02328,PICC P&C,14.97,9.583,1.091,21790935,0.635,19.286399999999997
HK.03316,BINJIANG SER,22.58,9.467,3.37,1041500,4.938,19.2538
HK.01882,HAITIAN INT'L,20.8,9.082,1.3,1956456,0.806,19.2108
HK.06066,CSC,10.46,10.397,0.905,6387000,0.89,19.1328
HK.00921,HISENSE HA,21.7,8.31,1.62,707300,0.968,19.098
HK.03339,LONKING,2.66,10.35,0.96,5258000,0.591,19.061999999999998
HK.00917,QUNABOX GROUP,16.77,14.045,1.99,2231000,1.069,18.991
HK.00135,KUNLUN ENERGY,7.39,10.804,0.852,19136581,0.975,18.983999999999998
HK.00512,GRAND PHARMA,6.53,9.395,1.351,5210500,0.623,18.9312
HK.00341,CAFE DE CORAL H,4.29,10.698,0.943,737094,0.719,18.883799999999997
HK.01698,TME-SW,37.84,9.577,1.318,1689066,0.568,18.8814
HK.01776,GF SEC,14.74,11.082,0.829,4685200,0.511,18.8586
HK.06896,GOLDEN THROAT,3.55,7.634,1.982,526000,0.666,18.851999999999997
HK.00914,CONCH CEMENT,21.22,12.002,0.527,5913665,0.613,18.850199999999997
HK.01766,CRRC,5.24,11.244,0.808,12161113,0.76,18.7992
HK.00856,VSTECS,9.29,9.809,1.31,12988000,0.397,18.756600000000002
HK.01883,CITIC TELECOM,2.74,11.004,0.92,5937882,0.886,18.741600000000002
HK.03983,CHINA BLUECHEM,2.79,11.923,0.616,12646000,0.511,18.737399999999997
HK.00179,JOHNSON ELEC H,23.48,10.731,1.015,2728500,0.617,18.734399999999997
HK.02883,CHINA OILFIELD,9.86,11.066,0.912,12873339,0.845,18.718799999999998
HK.01193,CHINA RES GAS,19.04,10.775,1.015,2285428,0.663,18.708
HK.02357,AVICHINA,3.45,11.655,0.73,21163142,0.667,18.692999999999998
HK.02722,CHONGQING M&E,2.57,11.173,0.97,11088000,0.511,18.5502
HK.00883,CNOOC,29.18,9.31,1.611,149407083,0.601,18.5142
HK.00189,DONGYUE GROUP,11.08,10.562,1.206,11645000,0.679,18.492
HK.02232,CRYSTAL INTL,6.16,10.048,1.404,2010724,0.384,18.444
HK.01910,SAMSONITE,15.03,9.266,1.673,2500296,0.291,18.429
HK.03958,DFZQ,5.42,12.723,0.532,5715200,0.563,18.4086
HK.02096,SIMCERE PHARMA,11.11,19.389,2.768,7904846,1.742,18.3842
HK.00941,CHINA MOBILE,77.0,11.157,1.085,28349250,0.981,18.3528
HK.00123,YUEXIU PROPERTY,3.82,13.691,0.247,6184600,0.582,18.340799999999998
HK.00384,CHINA GAS HOLD,7.34,12.294,0.713,6173610,0.711,18.3402
HK.02669,CHINA OVS PPT,3.99,8.028,2.138,8757854,0.848,18.334799999999998
HK.02691,NANHUA FUTURES,11.13,16.153,1.659,1313000,1.379,18.322000000000003
HK.00525,GUANGSHEN RAIL,2.12,13.086,0.486,5772000,0.891,18.273600000000002
HK.09899,NETEASE MUSIC,126.9,8.959,1.913,953659,0.964,18.1812
HK.01330,DYNAGREEN ENV,5.37,12.149,0.855,4317000,0.83,18.171599999999998
HK.00857,PETROCHINA,10.9,11.213,1.168,131151794,0.692,18.1698
HK.00728,CHINA TELECOM,4.88,12.139,0.875,39728250,0.528,18.1416
HK.00288,WH GROUP,9.91,10.431,1.46,26734995,0.758,18.1134
HK.06655,HX BLDG MAT,15.29,12.183,0.919,3498400,0.908,18.035999999999998
HK.01836,STELLA HOLDINGS,13.95,10.906,1.372,1148806,0.28,17.9868
HK.01513,LIVZON PHARMA,26.38,10.455,1.523,725560,0.947,17.9856
HK.02380,CHINA POWER,3.26,12.538,0.848,14268366,0.557,17.950799999999997
HK.06608,BAIRONG-W,8.33,13.035,0.721,1303000,0.814,17.8812
HK.02388,BOC HONG KONG,41.34,11.432,1.259,4286635,0.354,17.874599999999997
HK.02386,SINOPEC SEG,5.92,13.068,0.74,6381453,0.849,17.8272
HK.09987,YUM CHINA,386.4,18.868,3.258,1340815,2.01,17.814799999999998
HK.03900,GREENTOWN CHINA,9.2,13.549,0.598,5047000,0.457,17.7942
HK.03323,CNBM,4.88,14.352,0.332,38613805,0.792,17.7912
HK.00777,NETDRAGON,8.44,13.208,0.72,1394000,0.613,17.779200000000003
HK.01044,HENGAN INT'L,27.54,11.389,1.327,2449908,0.879,17.778000000000002
HK.06690,HAIER SMARTHOME,22.72,10.528,1.626,13517637,0.652,17.7564
HK.00558,LK TECH,2.62,10.194,1.744,1235000,0.369,17.7444
HK.06865,FLAT GLASS,9.02,19.439,0.888,3823000,1.012,17.7382
HK.06049,POLY PPT SER,30.82,10.716,1.575,980400,0.815,17.7354
HK.01113,CK ASSET,44.26,14.282,0.39,6690576,0.61,17.7288
HK.01104,APAC RESOURCES,2.26,13.78,0.575,3180105,0.35,17.697
HK.01951,JXR,2.26,20.36,0.615,24076000,1.04,17.677
HK.01038,CKI HOLDINGS,61.05,18.612,1.202,4246438,1.479,17.669200000000004
HK.03898,TIMES ELECTRIC,36.2,12.296,1.091,2065000,0.809,17.658599999999996
HK.09973,CHERY AUTO,26.72,7.404,2.774,3449722,0.682,17.5644
HK.03690,MEITUAN-W,86.3,13.781,2.905,113042421,1.238,17.5024
