code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SZ.002327,Shenzhen Fuanna Bedding and Furnishing,6.81,10.525,1.643,7159201,1.099,29.6368
SZ.002035,Vatti Corporation,6.44,11.258,1.435,20578283,1.49,29.549599999999998
SH.601328,Bank Of Communications,6.86,6.477,0.54,122240160,0.726,29.5224
SZ.002705,Guangdong Xinbao Electrical Appliances Holdings,14.77,11.387,1.412,50649597,8.199,29.501600000000003
SH.601838,Bank Of Chengdu,17.11,5.639,0.855,21196588,0.901,29.4368
SZ.001227,Bank Of Lanzhou,2.29,6.918,0.432,79482800,0.867,29.428800000000003
SH.600502,Anhui Construction Engineering Group Corporation,4.73,6.04,0.739,20459580,0.739,29.394400000000005
SH.603369,Jiangsu King's Luck Brewery Joint-Stock,26.64,9.733,2.012,7215143,1.206,29.384800000000002
SH.600548,Shenzhen Expressway Corporation,9.18,20.264,1.011,22515573,1.92,29.362400000000004
SZ.002304,Jiangsu Yanghe Distillery,49.88,11.259,1.547,5071247,1.056,29.28
SH.600717,Tianjin Port Holdings,4.74,13.982,0.682,35245542,1.095,29.177599999999998
SH.601998,China CITIC Bank Corporation,8.38,6.603,0.644,71470801,0.815,29.171999999999997
SH.601128,Jiangsu Changshu Rural Commercial Bank,7.13,6.2,0.795,39307542,0.9,29.132
SH.600820,Shanghai Tunnel Engineering,6.09,6.736,0.62,14161602,0.466,29.123199999999997
SZ.000791,Gepic Energy Development,8.96,17.672,1.991,178237155,1.568,29.084
SH.600919,Bank Of Jiangsu,10.88,6.27,0.801,92898812,0.815,29.0616
SZ.000883,Hubei Energy Group,5.3,20.703,0.995,116536710,1.544,29.049599999999998
SH.600000,Shanghai Pudong Development Bank,10.06,7.402,0.449,36081386,0.514,29.000799999999998
SH.601658,Postal Savings Bank Of China,5.11,7.097,0.614,146832852,0.901,28.8488
SH.601326,Qinhuangdao Port,3.75,13.392,1.033,59669717,1.218,28.8072
SZ.002124,Tech-bank Food,2.36,3.597,1.332,31963070,0.665,28.8032
SZ.002948,Bank of Qingdao,5.11,6.971,0.749,37634070,0.843,28.625600000000006
SH.601009,Bank Of Nanjing,11.25,6.893,0.78,37198343,0.797,28.613599999999998
SH.600216,Zhejiang Medicine,15.39,12.75,1.338,34845041,1.171,28.5888
SH.600508,Shanghai Datun Energy Resources,14.26,14.404,0.804,26102700,1.328,28.5472
SH.601398,Industrial and Commercial Bank of China,7.42,7.224,0.7,263470756,0.607,28.540800000000004
SH.600585,Anhui Conch Cement,22.93,14.977,0.631,35515832,1.237,28.504
SH.601702,Shanghai Huafon Aluminium Corporation,18.88,15.681,2.93,14778600,1.85,28.4232
SH.600036,China Merchants Bank,39.56,6.723,0.937,61679007,0.882,28.3728
SH.601939,China Construction Bank Corporation,9.44,7.357,0.729,89586757,0.766,28.364800000000002
SH.601988,Bank Of China,5.58,7.56,0.681,275051317,0.824,28.3176
SH.600039,Sichuan Road & Bridge Group,9.91,11.954,1.732,21044014,1.04,28.28
SZ.000728,Guoyuan,7.51,14.61,0.872,35168557,1.185,28.2192
SZ.002078,Shandong Sun Paper,14.7,13.243,1.374,25767632,1.228,28.108
SZ.002061,Zhejiang Communications Technology,3.88,7.918,0.657,25597389,0.707,28.088800000000006
SH.600926,Bank Of Hangzhou,16.69,7.123,0.929,23032943,0.736,28.072
SH.603128,CTS International Logistics Corporation,5.68,13.786,1.226,19071310,1.445,28.028800000000004
SH.601187,"Xiamen Bank Co.,Ltd.",7.54,7.67,0.767,15165784,0.703,28.0232
SZ.000897,Tianjin Jinbin Development,2.11,6.719,1.11,41038300,0.933,27.960800000000003
SH.600583,Offshore Oil Engineering,6.72,14.267,1.117,112592016,1.164,27.9056
SH.600017,"Rizhao Port Co.,Ltd.",3.29,15.446,0.725,90019896,1.447,27.903200000000002
SZ.002142,Bank Of Ningbo,30.42,7.405,0.93,13886225,0.598,27.844
SH.600008,Beijing Capital Eco-Environment Protection Group,3.25,6.756,1.158,109271838,0.845,27.816
SH.600035,Hubei Chutian Smart Communication,3.89,8.155,0.703,12815801,0.803,27.7888
SH.603368,Guangxi LiuYao Group,16.63,7.727,0.86,2981000,0.626,27.7544
SH.600985,Huaibei Mining Holdings,13.78,7.642,0.896,20274191,0.618,27.736000000000004
SH.600153,Xiamen C&D Inc.,9.05,8.907,0.476,12872762,0.653,27.732
SH.601002,Gem-Year Industrial,5.53,21.771,1.219,53129329,2.096,27.657600000000002
SZ.000776,GF securities,18.12,14.707,1.086,40874697,1.016,27.628
SH.600064,Nanjing Gaoke,8.28,8.304,0.727,11767348,0.555,27.612000000000002
SH.600018,Shanghai International Port,5.12,7.975,0.858,41604554,0.67,27.5608
SH.600269,Jiangxi Ganyue Expressway,4.87,8.886,0.571,18392700,0.814,27.520799999999998
SH.601288,Agricultural Bank Of China,6.51,8.076,0.844,224826856,0.558,27.513599999999997
SH.601919,COSCO Shipping Holdings,15.26,7.569,1.017,81051623,0.649,27.504000000000005
SH.601669,"Power Construction Corporation of China,Ltd(POWERCHINA",5.95,8.536,0.712,440797949,0.786,27.462400000000002
SZ.000885,CEVIA Enviro Inc.,13.85,7.789,0.97,5934300,0.753,27.440800000000003
SZ.002832,Biem.L.Fdlkk Garment,17.52,12.807,1.832,11845001,1.166,27.3576
SZ.002393,Tianjin Lisheng Pharmaceutical,23.43,14.498,1.326,9143243,1.186,27.2192
SZ.000544,Central Plains Environment Protection,8.68,8.196,0.932,5995873,0.715,27.2064
SZ.300441,Ningbo BaoSi Energy Equipment,7.09,5.487,1.849,3405474,0.414,27.172799999999995
