ts_code,name,industry,total_return
000543.SZ,皖能电力,火力发电,70.0197238658777
000544.SZ,中原环保,环境保护,-41.706484641638234
000545.SZ,金浦钛业,化工原料,-33.0078125
000546.SZ,金圆股份,环境保护,-62.034463590883824
000547.SZ,航天发展,通信设备,169.80244590780805
000548.SZ,湖南投资,路桥,-17.44360902255639
000550.SZ,江铃汽车,汽车整车,8.053691275167786
000551.SZ,创元科技,专用机械,61.11111111111113
000552.SZ,甘肃能化,煤炭开采,-22.562674094707525
000553.SZ,安道麦A,农药化肥,-61.16446578631454
000554.SZ,泰山石油,石油贸易,2.3002421307505996
000555.SZ,神州信息,软件服务,30.90452261306534
000557.SZ,西部创业,铁路,-10.076045627376413
000558.SZ,天府文旅,旅游景点,-8.964143426294807
000559.SZ,万向钱潮,汽车配件,52.17391304347828
000560.SZ,我爱我家,房产服务,-69.89690721649484
000561.SZ,烽火电子,通信设备,13.225058004640381
000563.SZ,陕国投Ａ,多元金融,-20.56074766355141
000564.SZ,供销大集,百货,-55.71095571095571
000565.SZ,渝三峡Ａ,染料涂料,2.3448275862068955
000566.SZ,海南海药,化学制药,-52.06896551724138
000567.SZ,海德股份,多元金融,-78.2464846980976
000568.SZ,泸州老窖,白酒,60.079051383399204
000570.SZ,苏常柴Ａ,农用机械,1.2411347517730547
000571.SZ,新大洲A,煤炭开采,3.490401396160546
000572.SZ,海马汽车,汽车整车,32.46187363834423
000573.SZ,粤宏远Ａ,区域地产,-11.041666666666671
000576.SZ,甘化科工,电气设备,-45.12338425381904
000581.SZ,威孚高科,汽车配件,-15.202982601491307
000582.SZ,北部湾港,港口,10.505050505050496
000586.SZ,汇源通信,通信设备,-12.311977715877433
000589.SZ,贵州轮胎,汽车配件,0.0
000590.SZ,古汉医药,中成药,-21.442622950819672
000591.SZ,太阳能,新型电力,-1.3651877133105812
000592.SZ,平潭发展,林业,114.3911439114391
000593.SZ,德龙汇能,供气供热,70.74235807860262
000595.SZ,*ST宝实,新型电力,17.915904936014634
000596.SZ,古井贡酒,白酒,56.35416666666665
000597.SZ,东北制药,化学制药,-55.67612687813022
000598.SZ,兴蓉环境,水务,25.23020257826888
000599.SZ,青岛双星,汽车配件,-6.896551724137924
000600.SZ,建投能源,火力发电,20.48346055979644
000601.SZ,韶能股份,水力发电,1.5214384508990237
000603.SZ,盛达资源,铅锌,213.6620856911884
000605.SZ,渤海股份,水务,-60.83333333333333
000607.SZ,华媒控股,广告包装,-30.831973898858074
000608.SZ,*ST阳光,区域地产,-31.661442006269585
000609.SZ,ST中迪,区域地产,-17.22272317403066
000610.SZ,西安旅游,旅游服务,-22.184589331075365
000612.SZ,焦作万方,铝,31.76470588235295
000615.SZ,*ST美谷,医疗保健,-68.06331471135941
000617.SZ,中油资本,多元金融,-30.826558265582648
000619.SZ,海螺新材,其他建材,-26.909090909090907
000620.SZ,盈新发展,全国地产,-49.91364421416235
000623.SZ,吉林敖东,中成药,-22.035398230088497
000625.SZ,长安汽车,汽车整车,-21.83817753338571
000626.SZ,远大控股,商贸代理,-38.01652892561984
000628.SZ,高新发展,建筑工程,517.8571428571428
000629.SZ,钒钛股份,小金属,-10.677083333333325
000630.SZ,铜陵有色,铜,102.04778156996585
000631.SZ,顺发恒能,综合类,-10.392609699769057
000632.SZ,三木集团,综合类,-18.63857374392221
000633.SZ,合金投资,小金属,-34.45620789220405
000635.SZ,英力特,化工原料,-41.1295681063123
000636.SZ,风华高科,元器件,57.91190864600326
000637.SZ,茂化实华,石油加工,-22.11221122112211
000638.SZ,*ST万方,农业综合,-88.48979591836735
000639.SZ,西王食品,食品,-84.7052575677111
000650.SZ,仁和药业,中成药,8.712121212121211
000651.SZ,格力电器,家用电器,-16.611295681063122
000652.SZ,泰达股份,批发业,-10.986547085201789
000655.SZ,金岭矿业,普钢,27.478753541076493
000656.SZ,*ST金科,全国地产,-72.65469061876247
000657.SZ,中钨高新,小金属,289.00398406374495
000659.SZ,珠海中富,广告包装,0.4329004329004236
000661.SZ,长春高新,生物制药,-51.84669377750543
000663.SZ,永安林业,林业,-61.79347826086956
000665.SZ,湖北广电,影视音像,-50.591715976331365
000668.SZ,*ST荣控,房产服务,-2.519893899204249
000669.SZ,ST金鸿,供气供热,-64.00277970813065
000670.SZ,盈方微,元器件,27.31213872832371
000672.SZ,上峰水泥,水泥,21.796071094480826
000676.SZ,智度股份,互联网,-31.96428571428571
000677.SZ,恒天海龙,化纤,19.082125603864736
000678.SZ,襄阳轴承,汽车配件,29.53776775648254
000679.SZ,大连友谊,百货,-5.322128851540615
000680.SZ,山推股份,工程机械,125.68093385214007
000681.SZ,视觉中国,互联网,5.4247697031729905
000682.SZ,东方电子,电气设备,163.61702127659575
000683.SZ,博源化工,化工原料,181.39534883720933
000685.SZ,中山公用,水务,5.700483091787438
000686.SZ,东北证券,证券,-8.465011286681715
000688.SZ,国城矿业,铅锌,330.02028397565925
000690.SZ,宝新能源,火力发电,-37.997587454764776
000691.SZ,*ST亚太,化工原料,6.210392902408126
000692.SZ,惠天热电,供气供热,-3.9772727272727266
000695.SZ,滨海能源,化工原料,32.38636363636363
001696.SZ,宗申动力,摩托车,197.63406940063092
000697.SZ,ST炼石,航空,-58.70967741935485
000698.SZ,ST沈化,石油加工,-35.32338308457712
000700.SZ,模塑科技,汽车配件,107.32984293193716
000701.SZ,厦门信达,商贸代理,-41.170634920634924
000702.SZ,正虹科技,饲料,-3.4433285509325584
000703.SZ,恒逸石化,化纤,-47.956173619890436
