ts_code,name,start_date,end_date,start_price,end_price,total_return,annual_return,max_drawdown,trading_days
000999.SZ,华润三九,2021-03-30,2026-03-30,10.82,28.3,161.55268022181147,21.20576267518526,-40.68482070638987,1211
600085.SH,同仁堂,2021-03-30,2026-03-30,26.96,28.19,4.562314540059349,0.8963761457258856,-53.711001642036116,1211
000733.SZ,振华科技,2021-03-30,2026-03-30,53.46,45.84,-14.253647586980916,-3.0291277257673888,-76.36721598366633,1211
000786.SZ,北新建材,2021-03-30,2026-03-30,40.56,26.02,-35.84812623274162,-8.49673512833652,-61.36162687886826,1211
000902.SZ,新洋丰,2021-03-30,2026-03-30,17.2,16.03,-6.802325581395338,-1.3992593208530635,-60.958605664488005,1211
000739.SZ,普洛药业,2021-03-30,2026-03-30,26.06,17.88,-31.389102072141213,-7.258494704095552,-74.83692925238334,1211
002001.SZ,新和成,2021-03-30,2026-03-30,23.82,36.0,51.13350125944584,8.61181220472269,-52.04487875497647,1211
000683.SZ,博源化工,2021-03-30,2026-03-30,1.77,8.47,378.53107344632775,36.77308608956802,-64.7203947368421,1211
000830.SZ,鲁西化工,2021-03-30,2026-03-30,12.5,16.9,35.19999999999999,6.2181968878006755,-62.09239130434783,1201
600064.SH,南京高科,2021-03-30,2026-03-30,5.38,8.37,55.57620817843865,9.243068972788905,-22.9368932038835,1211
000680.SZ,山推股份,2021-03-30,2026-03-30,3.9,11.6,197.43589743589743,24.363128592957594,-33.87681159420289,1211
600031.SH,三一重工,2021-03-30,2026-03-30,34.93,18.87,-45.977669624964214,-11.588788824492369,-66.18952190094474,1211
000932.SZ,华菱钢铁,2021-03-30,2026-03-30,6.12,5.23,-14.542483660130715,-3.0945540419786033,-60.59880239520958,1211
000672.SZ,上峰水泥,2021-03-30,2026-03-30,15.41,13.02,-15.509409474367297,-3.314874575958082,-72.58883248730965,1211
000983.SZ,山西焦煤,2021-03-30,2026-03-30,1.86,6.99,275.8064516129032,30.319255468190455,-63.978494623655905,1201
000937.SZ,冀中能源,2021-03-30,2026-03-30,-0.15,5.92,-4046.666666666667,,-333.33333333333337,1211
000661.SZ,长春高新,2021-03-30,2026-03-30,450.87,86.44,-80.82817663628097,-28.135726167995358,-85.04222426866782,1211
000568.SZ,泸州老窖,2021-03-30,2026-03-30,206.67,105.3,-49.04920888372768,-12.617962404694183,-64.59017645710794,1211
000858.SZ,五粮液,2021-03-30,2026-03-30,251.08,103.46,-58.794009877329934,-16.250634088278602,-66.94827872941958,1211
000429.SZ,粤高速Ａ,2021-03-30,2026-03-30,5.14,13.03,153.50194552529183,20.450143368332284,-24.700914848698112,1211
600012.SH,皖通高速,2021-03-30,2026-03-30,4.76,15.33,222.05882352941177,26.357477915477247,-36.6990291262136,1201
000807.SZ,云铝股份,2021-03-30,2026-03-30,8.62,31.46,264.9651972157773,29.558432879700504,-63.05372290292177,1211
000895.SZ,双汇发展,2021-03-30,2026-03-30,35.79,28.42,-20.5923442302319,-4.507396722873935,-50.99189717798268,1211
000975.SZ,山金国际,2021-03-30,2026-03-30,7.43,29.87,302.01884253028265,32.08874911006448,-35.928961748633874,1206
